model,split,accuracy,balanced_accuracy,loss,precision,recall,specificity,f1,roc_auc
Experiment 6 — ResNet50,Train (selected epoch),0.9847056269645691,,0.04304153099656105,0.9877802133560181,0.9876137375831604,,,0.9981608390808105
Experiment 6 — ResNet50,Validation,0.8599749207496643,,0.4858461618423462,0.9253597259521484,0.8399999737739563,,,0.9393429756164551
Experiment 6 — ResNet50,Test,0.9676336609925678,0.96370830803556,,0.9702336096458176,0.9787153173698213,0.9487012987012987,0.9744560075685903,0.9961579469561226
Experiment 7 — MobileNetV2,Train (selected epoch),0.9409176707267761,,0.15828439593315125,0.9477238655090332,0.9577856659889221,,,0.9829689264297485
Experiment 7 — MobileNetV2,Validation,0.8562107682228088,,0.38068637251853943,0.9195351004600525,0.8395918607711792,,,0.930037796497345
Experiment 7 — MobileNetV2,Test,0.9515703668185087,0.9438399304989955,,0.9509840326773116,0.9733941467122768,0.9142857142857143,0.9620586025544703,0.9863258748093411
