case_id,patches,accuracy,balanced_accuracy,f1,roc_auc
TCGA-4N-A93T,207,0.9806763285024155,0.9883720930232558,0.9882352941176471,0.9996677740863787
TCGA-AY-A54L,167,0.9580838323353293,0.9384751773049644,0.9711934156378601,0.9930851063829788
TCGA-AZ-6608,768,0.9596354166666666,0.9436004586187129,0.970106075216972,0.9937920526204629
TCGA-D5-6538,807,0.9752168525402726,0.8876861632637827,0.9864864864864865,0.9874958008286365
TCGA-DM-A0XF,428,0.9415887850467289,0.9371763630825465,0.9571183533447685,0.97941415372119
TCGA-G4-6315,1794,0.9358974358974359,0.9370070778564206,0.9299207800121877,0.9768346218339624
