case_id,patches,accuracy,balanced_accuracy,f1,roc_auc
TCGA-4N-A93T,207,0.9903381642512077,0.9941860465116279,0.9941520467836257,0.9963455149501661
TCGA-5M-AAT6,403,0.9528535980148883,0.9738292011019284,0.9731258840169731,0.9994490358126722
TCGA-AG-4008,42,0.4523809523809524,0.5208333333333334,0.6101694915254238,0.8865740740740741
TCGA-AZ-5407,362,0.9005524861878453,0.7371110548950165,0.9423076923076923,0.9249683784467493
TCGA-DM-A280,623,0.8105939004815409,0.8123376623376624,0.834733893557423,0.9273551844980417
TCGA-WS-AB45,1845,0.7902439024390244,0.8679797969725374,0.8743914313534566,0.9617179553658682
