case_id,patches,accuracy,balanced_accuracy,f1,roc_auc
TCGA-4T-AA8H,472,0.9788135593220338,0.9295774647887324,0.9876847290640394,0.9901654314916932
TCGA-AD-6548,28,1.0,1.0,1.0,1.0
TCGA-CA-6715,682,0.9486803519061584,0.9548421807747489,0.9387040280210157,0.9961172883787661
TCGA-CA-6718,707,0.8161244695898161,0.7901165989503978,0.8725490196078431,0.8682072117826308
TCGA-NH-A5IV,1030,0.9815533980582525,0.9417977078891258,0.9894620077648364,0.9988006396588487
TCGA-QG-A5Z2,1731,0.9659156556903524,0.9745354476175814,0.9490060501296457,0.9975998768378108
TCGA-QL-A97D,908,0.986784140969163,0.9928571428571429,0.9928057553956835,0.9988270308123249
