case_id,patches,accuracy,balanced_accuracy,f1,roc_auc
TCGA-5M-AAT4,194,0.979381443298969,,0.9895833333333334,
TCGA-AG-4008,42,0.42857142857142855,0.5,0.6,0.8587962962962963
TCGA-AY-A54L,167,0.9760479041916168,0.9639184397163121,0.9834710743801653,0.9980496453900709
TCGA-CA-6718,707,0.545968882602546,0.5630872270187912,0.6348122866894198,0.5932050956492297
TCGA-G4-6322,2422,0.9880264244426095,0.9849898975983836,0.9796491228070175,0.9987872198059551
TCGA-WS-AB45,1845,0.5208672086720867,0.7242551006162621,0.6578947368421053,0.8899353822221334
